Date,WALCL
1/7/2015,4499524
1/14/2015,4516077
1/21/2015,4512936
1/28/2015,4500064
2/4/2015,4500348
2/11/2015,4501685
2/18/2015,4496851
2/25/2015,4486725
3/4/2015,4487583
3/11/2015,4489279
3/18/2015,4495888
3/25/2015,4480603
4/1/2015,4481799
4/8/2015,4483419
4/15/2015,4485366
4/22/2015,4489695
4/29/2015,4471499
5/6/2015,4472703
5/13/2015,4501188
5/20/2015,4480384
5/27/2015,4463981
6/3/2015,4465360
6/10/2015,4468005
6/17/2015,4487817
6/24/2015,4495055
7/1/2015,4479130
7/8/2015,4481289
7/15/2015,4493605
7/22/2015,4500503
7/29/2015,4485480
8/5/2015,4486329
8/12/2015,4489250
8/19/2015,4487208
8/26/2015,4475105
9/2/2015,4475886
9/9/2015,4478213
9/16/2015,4487809
9/23/2015,4497484
9/30/2015,4484111
10/7/2015,4486185
10/14/2015,4504704
10/21/2015,4501372
10/28/2015,4489339
11/4/2015,4489702
11/11/2015,4492012
11/18/2015,4486721
11/25/2015,4477088
12/2/2015,4478069
12/9/2015,4480436
12/16/2015,4489593
12/23/2015,4496523
12/30/2015,4486587
1/6/2016,4486606
1/13/2016,4501695
1/20/2016,4488840
1/27/2016,4482349
2/3/2016,4483495
2/10/2016,4486278
2/17/2016,4483629
2/24/2016,4489796
3/2/2016,4478485
3/9/2016,4481083
3/16/2016,4486333
3/23/2016,4492857
3/30/2016,4482840
4/6/2016,4484069
4/13/2016,4499729
4/20/2016,4490131
4/27/2016,4474665
5/4/2016,4477270
5/11/2016,4478411
5/18/2016,4473741
5/25/2016,4461111
6/1/2016,4461393
6/8/2016,4463542
6/15/2016,4472817
6/22/2016,4482009
6/29/2016,4466482
7/6/2016,4470605
7/13/2016,4472202
7/20/2016,4480973
7/27/2016,4464498
8/3/2016,4466793
8/10/2016,4468929
8/17/2016,4466476
8/24/2016,4473840
8/31/2016,4457907
9/7/2016,4459394
9/14/2016,4481635
9/21/2016,4473032
9/28/2016,4452002
10/5/2016,4459407
10/12/2016,4457698
10/19/2016,4467382
10/26/2016,4454326
11/2/2016,4453087
11/9/2016,4455087
11/16/2016,4453633
11/23/2016,4465782
11/30/2016,4446307
12/7/2016,4448618
12/14/2016,4470973
12/21/2016,4469089
12/28/2016,4451451
1/4/2017,4453101
1/11/2017,4452509
1/18/2017,4460758
1/25/2017,4452838
2/1/2017,4453881
2/8/2017,4456236
2/15/2017,4454676
2/22/2017,4468702
3/1/2017,4458018
3/8/2017,4459840
3/15/2017,4469577
3/22/2017,4478236
3/29/2017,4469618
4/5/2017,4474634
4/12/2017,4484492
4/19/2017,4479270
4/26/2017,4470142
5/3/2017,4471246
5/10/2017,4473459
5/17/2017,4467108
5/24/2017,4470852
5/31/2017,4459914
6/7/2017,4462443
6/14/2017,4476269
6/21/2017,4474257
6/28/2017,4463347
7/5/2017,4467272
7/12/2017,4466702
7/19/2017,4476903
7/26/2017,4465284
8/2/2017,4466846
8/9/2017,4469083
8/16/2017,4462871
8/23/2017,4463837
8/30/2017,4452360
9/6/2017,4453474
9/13/2017,4471174
9/20/2017,4458576
9/27/2017,4455661
10/4/2017,4460422
10/11/2017,4459415
10/18/2017,4469723
10/25/2017,4461117
11/1/2017,4455887
11/8/2017,4458552
11/15/2017,4448289
11/22/2017,4450615
11/29/2017,4438592
12/6/2017,4437148
12/13/2017,4452726
12/20/2017,4447470
12/27/2017,4448680
1/3/2018,4443718
1/10/2018,4446062
1/17/2018,4439145
1/24/2018,4441317
1/31/2018,4419225
2/7/2018,4420745
2/14/2018,4434863
2/21/2018,4411660
2/28/2018,4393401
3/7/2018,4396097
3/14/2018,4407258
3/21/2018,4401222
3/28/2018,4392198
4/4/2018,4386104
4/11/2018,4383684
4/18/2018,4385903
4/25/2018,4372886
5/2/2018,4356129
5/9/2018,4358207
5/16/2018,4337609
5/23/2018,4337301
5/30/2018,4327519
6/6/2018,4319191
6/13/2018,4324906
6/20/2018,4315896
6/27/2018,4305491
7/4/2018,4289764
7/11/2018,4291201
7/18/2018,4291615
7/25/2018,4277681
8/1/2018,4255653
8/8/2018,4258030
8/15/2018,4228924
8/22/2018,4228818
8/29/2018,4218914
9/5/2018,4208496
9/12/2018,4210812
9/19/2018,4208059
9/26/2018,4192909
10/3/2018,4174704
10/10/2018,4176906
10/17/2018,4175446
10/24/2018,4173070
10/31/2018,4139731
11/7/2018,4141936
11/14/2018,4145892
11/21/2018,4106198
11/28/2018,4097170
12/5/2018,4086044
12/12/2018,4088314
12/19/2018,4084274
12/26/2018,4075636
1/2/2019,4058378
1/9/2019,4056563
1/16/2019,4050044
1/23/2019,4047052
1/30/2019,4039678
2/6/2019,4026350
2/13/2019,4028431
2/20/2019,3981420
2/27/2019,3974590
3/6/2019,3969134
3/13/2019,3971559
3/20/2019,3962748
3/27/2019,3955617
4/3/2019,3935509
4/10/2019,3936784
4/17/2019,3931827
4/24/2019,3928273
5/1/2019,3889691
5/8/2019,3892216
5/15/2019,3864749
5/22/2019,3860435
5/29/2019,3851444
6/5/2019,3847645
6/12/2019,3849955
6/19/2019,3844016
6/26/2019,3826817
7/3/2019,3813198
7/10/2019,3815038
7/17/2019,3808110
7/24/2019,3803436
7/31/2019,3779102
8/7/2019,3781543
8/14/2019,3786018
8/21/2019,3764866
8/28/2019,3759946
9/4/2019,3761508
9/11/2019,3769673
9/18/2019,3844695
9/25/2019,3857715
10/2/2019,3945831
10/9/2019,3949955
10/16/2019,3966471
10/23/2019,3968700
10/30/2019,4019823
11/6/2019,4039443
11/13/2019,4047882
11/20/2019,4030249
11/27/2019,4052875
12/4/2019,4065696
12/11/2019,4095491
12/18/2019,4137052
12/25/2019,4165591
1/1/2020,4173626
1/8/2020,4149544
1/15/2020,4175850
1/22/2020,4145912
1/29/2020,4151630
2/5/2020,4166707
2/12/2020,4182689
2/19/2020,4171570
2/26/2020,4158637
3/4/2020,4241507
3/11/2020,4311911
3/18/2020,4668212
3/25/2020,5254278
4/1/2020,5811607
4/8/2020,6083141
4/15/2020,6367887
4/22/2020,6573136
4/29/2020,6655929
5/6/2020,6721420
5/13/2020,6934227
5/20/2020,7037258
5/27/2020,7097316
6/3/2020,7165217
6/10/2020,7168936
6/17/2020,7094690
6/24/2020,7082302
7/1/2020,7009040
7/8/2020,6920716
7/15/2020,6958604
7/22/2020,6964755
7/29/2020,6949032
8/5/2020,6945237
8/12/2020,6957277
8/19/2020,7010637
8/26/2020,6990418
9/2/2020,7017492
9/9/2020,7010614
9/16/2020,7064475
9/23/2020,7093161
9/30/2020,7056129
10/7/2020,7074649
10/14/2020,7151426
10/21/2020,7177265
10/28/2020,7146306
11/4/2020,7157479
11/11/2020,7175417
11/18/2020,7243080
11/25/2020,7216480
12/2/2020,7222414
12/9/2020,7242658
12/16/2020,7362592
12/23/2020,7404039
12/30/2020,7363351
1/6/2021,7334809
1/13/2021,7333968
1/20/2021,7414942
1/27/2021,7404926
2/3/2021,7410598
2/10/2021,7442225
2/17/2021,7557402
2/24/2021,7590111
3/3/2021,7557524
3/10/2021,7579901
3/17/2021,7693506
3/24/2021,7719622
3/31/2021,7688988
4/7/2021,7708882
4/14/2021,7793104
4/21/2021,7820948
4/28/2021,7780962
5/5/2021,7810486
5/12/2021,7830663
5/19/2021,7922883
5/26/2021,7903541
6/2/2021,7935703
6/9/2021,7952327
6/16/2021,8064257
6/23/2021,8101945
6/30/2021,8078544
7/7/2021,8097773
7/14/2021,8201651
7/21/2021,8240530
7/28/2021,8221473
8/4/2021,8235073
8/11/2021,8257159
8/18/2021,8342598
8/25/2021,8332743
9/1/2021,8349173
9/8/2021,8357314
9/15/2021,8448770
9/22/2021,8489824
9/29/2021,8447981
10/6/2021,8464032
10/13/2021,8480942
10/20/2021,8564943
10/27/2021,8556181
11/3/2021,8574871
11/10/2021,8663117
11/17/2021,8674970
11/24/2021,8681771
12/1/2021,8650402
12/8/2021,8664524
12/15/2021,8756666
12/22/2021,8790495
12/29/2021,8757460
1/5/2022,8765721
1/12/2022,8788278
1/19/2022,8867834
1/26/2022,8860485
2/2/2022,8873211
2/9/2022,8878009
2/16/2022,8911033
2/23/2022,8928129
3/2/2022,8904455
3/9/2022,8910748
3/16/2022,8954306
3/23/2022,8962474
3/30/2022,8937142
4/6/2022,8937592
4/13/2022,8965487
4/20/2022,8955851
4/27/2022,8939199
5/4/2022,8939972
5/11/2022,8942008
5/18/2022,8945898
5/25/2022,8914281
6/1/2022,8915050
6/8/2022,8918254
6/15/2022,8932420
6/22/2022,8934346
6/29/2022,8913553
7/6/2022,8891851
7/13/2022,8895867
7/20/2022,8899213
7/27/2022,8890004
8/3/2022,8874620
8/10/2022,8879138
8/17/2022,8849762
8/24/2022,8851436
8/31/2022,8826093
9/7/2022,8822401
9/14/2022,8832759
9/21/2022,8816802
9/28/2022,8795567
10/5/2022,8759053
10/12/2022,8758969
10/19/2022,8743922
10/26/2022,8723090
11/2/2022,8676870
11/9/2022,8678886
11/16/2022,8625620
11/23/2022,8621390
11/30/2022,8584576
12/7/2022,8582735
12/14/2022,8583413
12/21/2022,8564411
12/28/2022,8551169
1/4/2023,8507429
1/11/2023,8508587
1/18/2023,8489039
1/25/2023,8470557
2/1/2023,8433610
2/8/2023,8435369
2/15/2023,8384767
2/22/2023,8382190
3/1/2023,8339684
3/8/2023,8342283
3/15/2023,8639300
3/22/2023,8733787
3/29/2023,8705942
4/5/2023,8632384
4/12/2023,8614797
4/19/2023,8593263
4/26/2023,8562768
5/3/2023,8503994
5/10/2023,8503017
5/17/2023,8456760
,
